år;folkmängd;folkökning;födda;döda;födelseöverskott;samtliga inflyttningar;samtliga utflyttningar;inflyttningar från kommuner inom länet;inflyttningar från övriga län;invandringar;utflyttningar till kommuner inom länet;utflyttningar till övriga län;utvandringar;flyttningsöverskott totalt;flyttningsöverskott eget län;flyttningsöverskott övriga Sverige;invandringsöverskott;justeringspost,New_colomn
2003;107917;1392;1250;738;512;6529;5641;1490;4377;662;1120;4133;388;888;370;244;274;-8
2005;110758;1368;1287;765;522;6919;6057;1613;4640;666;1137;4470;450;862;476;170;216;-16
2007;111771;536;1327;746;581;6712;6746;1579;4280;853;1214;4920;612;-34;365;-640;241;-11
2008;112728;957;1436;737;699;6749;6487;1575;4209;965;1110;4815;562;262;465;-606;403;-4
2011;116465;992;1513;782;731;6757;6499;1502;4287;968;1129;4738;632;258;373;-451;336;3
2015;120777;1164;1464;864;600;7103;6546;1493;4454;1156;1151;4425;970;557;342;29;186;7
2019;128901;1782;1547;925;622;7579;6438;1556;4721;1302;1291;4678;469;1141;265;43;833;19
2020;130224;1323;1521;909;612;7256;6564;1428;4879;949;1449;4593;522;692;-21;286;427;19
2000;104512;542;1090;670;420;6416;6280;1620;4142;654;1218;4669;393;136;402;-527;261;-14
2001;105006;494;1114;705;409;6221;6125;1667;3910;644;1209;4485;431;96;458;-575;213;-11
2009;114075;1347;1493;828;665;6974;6291;1521;4286;1167;1101;4702;488;683;420;-416;679;-1
2010;115473;1398;1471;790;681;7241;6513;1519;4518;1204;1170;4863;480;728;349;-345;724;-11
2012;117294;829;1464;871;593;6672;6438;1426;4265;981;1066;4521;851;234;360;-256;130;2
2021;130997;773;1448;974;474;7055;6824;1385;4705;965;1441;4896;487;231;-56;-191;478;68
2002;106525;1519;1103;738;365;6880;5724;1688;4529;663;1135;4068;521;1156;553;461;142;-2
2004;109390;1473;1227;729;498;6723;5735;1518;4384;821;1192;4229;314;988;326;155;507;-13
2006;111235;477;1400;744;656;6294;6463;1511;4030;753;1194;4779;490;-169;317;-749;263;-10
2013;118349;1055;1493;828;665;6562;6184;1462;4096;1004;1103;4565;516;378;359;-469;488;12
2014;119613;1264;1422;834;588;6851;6173;1463;4419;969;1138;4548;487;678;325;-129;482;-2
2016;122892;2115;1480;832;648;7574;6129;1589;4688;1297;1205;4418;506;1445;384;270;791;22
2017;125080;2188;1494;847;647;7731;6206;1626;4616;1489;1172;4540;494;1525;454;76;995;16
2018;127119;2039;1481;907;574;7756;6299;1665;4802;1289;1326;4440;533;1457;339;362;756;8
2022;132235;1238;1320;977;343;7445;6593;1491;4862;1092;1288;4787;518;852;203;75;574;43
2023;133091;856;1221;932;289;7347;6808;1453;4775;1119;1351;4736;721;539;102;39;398;28
